-6.6912 32.7122 0.4270 31.1643 -10.1922 25.8299 -15.8326 -7.4685
-4.1689 11.8060 -1.0429 8.9588 -2.8646 11.7331 -3.9161 -3.6570
-2.8333 1.4518 -1.6179 -2.2012 0.8006 4.5782 2.0805 -1.7440
-3.7953 4.6874 -1.6689 5.7493 -2.6944 6.9596 -2.4375 -0.5371
-5.7049 21.9923 -0.4917 20.2947 -6.3335 18.8068 -9.7854 -5.5900
-4.6987 17.0512 -0.1764 14.5084 -4.5615 14.8950 -6.7298 -4.5876
-4.2306 15.9827 -0.1681 16.1669 -6.8391 13.7409 -8.5444 -2.3606
-3.3692 1.0320 -2.5325 -1.8540 0.9145 5.0828 1.9983 -1.8129
-5.5092 22.0443 -0.3014 20.1950 -6.2836 18.5254 -9.8186 -5.6809
-3.8187 6.2348 -1.3123 3.7072 -0.6979 8.0053 -0.7205 -2.7223
-3.1820 1.0750 -2.0008 -1.9129 0.9742 4.7462 2.1078 -1.7782
-3.7537 6.4138 -1.8041 3.5424 -0.9994 8.4335 -0.9825 -2.7324
-4.3058 11.5765 -1.1781 9.1076 -2.7059 11.6772 -3.9002 -3.7275
-3.3136 6.8494 -1.6102 3.1621 -1.2439 8.3071 -1.1485 -2.7764
-2.9357 1.4570 -2.2067 -2.2183 0.6247 5.0113 1.8773 -1.7697
-3.4136 6.7033 -1.5759 3.2772 -1.1183 8.2293 -1.0760 -2.7866
